City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,aldan,58.6031,125.3894,-3.62,92,100,5.93,RU,1679951588
141,burgeo,47.6167,-57.6152,2.57,74,100,3.8,CA,1679951588
142,necochea,-38.5473,-58.7368,25.11,28,0,6.88,AR,1679951589
143,pisco,-13.7,-76.2167,26.03,69,0,9.26,PE,1679951590
144,avarua,-21.2078,-159.775,28.03,78,84,5.66,CK,1679951590
145,namatanai,-3.6667,152.4333,26.94,75,51,2.27,PG,1679951591
146,hovd,48.0056,91.6419,0.42,37,91,0.51,MN,1679951592
147,yar-sale,66.8333,70.8333,-24.06,100,75,3.38,RU,1679951593
148,nouadhibou,20.931,-17.0347,22.99,60,47,4.63,MR,1679951593
149,acarau,-2.8856,-40.12,25.84,82,33,3.24,BR,1679951593
150,ahipara,-35.1667,173.1667,19.18,77,89,1.48,NZ,1679951594
151,kavaratti,10.5669,72.642,27.12,73,65,6.06,IN,1679951596
152,saucillo,28.0167,-105.2833,26.4,10,79,3.69,MX,1679951597
153,potenza,40.6443,15.8086,3.29,90,69,0.89,IT,1679951597
154,bethel,41.3712,-73.414,13.47,41,100,5.66,US,1679951459
155,hobbs,32.7026,-103.136,19.34,20,0,3.13,US,1679951597
156,pogradec,40.9025,20.6525,4.44,99,100,2.37,AL,1679951598
157,thatta,24.7475,67.9235,23.57,61,11,6.39,PK,1679951598
158,la ciotat,43.1748,5.6045,10.93,48,18,9.53,FR,1679951599
159,shelburne,44.0787,-80.2041,4.61,80,100,3.97,CA,1679951463
160,seddon,-37.8068,144.8916,17.14,94,75,1.54,AU,1679951600
161,kununurra,-15.7667,128.7333,22.99,100,49,0.0,AU,1679951600
162,finschhafen,-6.6024,147.8681,26.42,80,86,2.34,PG,1679951601
163,ketchikan,55.3422,-131.6461,9.26,49,0,5.66,US,1679951601
164,segou,13.4317,-6.2157,33.12,9,29,3.57,ML,1679951601
165,saint george,37.1041,-113.5841,12.46,18,0,3.58,US,1679951451
166,great yarmouth,52.6083,1.7305,4.97,64,10,1.19,GB,1679951602
167,alexandria,31.2156,29.9553,16.39,74,0,1.29,EG,1679951497
168,bantacan,7.604,126.1298,23.08,98,100,1.03,PH,1679951602
169,marsa matruh,31.3525,27.2453,17.0,59,0,2.15,EG,1679951602
170,luderitz,-26.6481,15.1594,17.07,86,2,0.43,NA,1679951602
171,high rock,26.6208,-78.2833,27.01,65,41,4.23,BS,1679951602
172,sao joao da barra,-21.6403,-41.0511,27.05,83,57,5.08,BR,1679951604
173,yenagoa,4.9247,6.2642,25.82,84,94,1.62,NG,1679951604
174,boca do acre,-8.7522,-67.3978,26.42,94,99,0.91,BR,1679951607
175,veraval,20.9,70.3667,23.46,79,4,5.71,IN,1679951609
176,puerto ayora,-0.7393,-90.3518,30.98,87,44,1.34,EC,1679951609
177,waddan,29.1614,16.139,23.2,15,0,2.27,LY,1679951609
178,lagoa,39.05,-27.9833,15.01,77,0,12.76,PT,1679951610
179,sioux lookout,50.1001,-91.917,-6.53,64,100,3.9,CA,1679951610
180,ancud,-41.8697,-73.8203,12.72,95,100,11.38,CL,1679951613
181,mbandaka,0.0487,18.2603,22.44,93,99,1.68,CD,1679951614
182,aksarka,66.5606,67.7975,-26.09,100,95,2.17,RU,1679951614
183,srednekolymsk,67.45,153.6833,-20.06,87,39,3.19,RU,1679951615
184,pevek,69.7008,170.3133,-21.96,82,87,6.06,RU,1679951615
185,jiayuguan,39.8167,98.3,5.24,17,0,1.26,CN,1679951615
186,gusau,12.1628,6.6614,29.2,13,87,3.25,NG,1679951616
187,kudahuvadhoo,2.6708,72.8944,27.8,78,32,3.35,MV,1679951616
188,nakhon phanom,17.3333,104.4167,20.71,79,7,2.57,TH,1679951616
189,lafia,8.4833,8.5167,32.4,32,47,1.7,NG,1679951616
190,sisimiut,66.9395,-53.6735,-11.78,80,2,3.3,GL,1679951617
191,carnarvon,-24.8667,113.6333,23.56,77,100,4.8,AU,1679951618
192,lorengau,-2.0226,147.2712,27.0,80,91,1.75,PG,1679951619
193,mormugao,15.4,73.8,23.05,76,34,5.27,IN,1679951619
194,kapoeta,4.7717,33.5903,27.34,54,91,2.19,SS,1679951619
195,haines junction,60.7522,-137.5108,-3.33,73,100,0.44,CA,1679951620
196,tiksi,71.6872,128.8694,-23.48,99,44,4.4,RU,1679951620
197,kyra,49.5776,111.9753,-5.3,88,22,1.43,RU,1679951620
198,severo-kurilsk,50.6789,156.125,0.16,88,99,11.03,RU,1679951621
199,kakonko,-3.2828,30.9642,17.46,97,99,0.91,TZ,1679951621
200,nome,64.5011,-165.4064,-5.96,93,75,6.17,US,1679951564
201,manacor,39.5696,3.2096,12.99,81,5,1.73,ES,1679951621
202,paamiut,61.994,-49.6678,-4.48,83,3,6.0,GL,1679951621
203,usoke,-5.1667,32.35,18.39,94,100,1.53,TZ,1679951622
204,makakilo city,21.3469,-158.0858,27.05,64,0,3.6,US,1679951622
205,clyde river,70.4692,-68.5914,-25.07,96,41,1.08,CA,1679951387
206,benalla,-36.55,145.9833,16.83,94,87,1.75,AU,1679951622
207,mocajuba,-2.5842,-49.5072,25.24,93,73,0.74,BR,1679951582
208,bilibino,68.0546,166.4372,-23.66,93,87,1.3,RU,1679951622
209,marzuq,14.4,46.4667,24.83,59,92,3.83,YE,1679951622
210,aksu,41.1231,80.2644,11.19,18,0,0.87,CN,1679951623
211,kjollefjord,70.9457,27.3465,-3.97,68,40,3.6,NO,1679951623
212,northfield,44.4583,-93.1616,4.84,47,0,4.12,US,1679951623
213,hillsboro,45.5229,-122.9898,13.9,53,0,3.6,US,1679951623
214,vila velha,-20.3297,-40.2925,27.97,74,75,3.6,BR,1679951438
215,dumas,35.8656,-101.9732,16.08,14,0,9.77,US,1679951624
216,sydney,-33.8679,151.2073,20.77,87,0,3.6,AU,1679951458
217,sinjar,36.3209,41.8754,12.61,91,80,1.59,IQ,1679951624
218,barra,-11.0894,-43.1417,28.55,52,84,1.7,BR,1679951624
219,belyy,55.8402,32.9419,-0.56,95,54,1.15,RU,1679951625
220,tulum,20.2167,-87.4667,28.19,62,6,4.76,MX,1679951625
221,singaraja,-8.112,115.0882,26.06,81,98,1.54,ID,1679951625
222,de-kastri,51.4667,140.7833,-6.64,93,17,1.06,RU,1679951625
223,geelong,-38.1471,144.3607,14.95,96,100,2.57,AU,1679951626
224,tsevie,6.4261,1.2133,27.19,69,96,2.27,TG,1679951626
225,upernavik,72.7868,-56.1549,-25.99,92,13,4.18,GL,1679951627
226,elena,42.9333,25.8833,9.43,87,100,5.98,BG,1679951627
227,novyy urengoy,66.0833,76.6333,-26.86,100,9,2.39,RU,1679951548
228,kantunilkin,21.0917,-87.45,32.14,33,36,4.41,MX,1679951627
229,areosa,41.7178,-8.8571,13.25,61,100,1.07,PT,1679951627
230,bodden town,19.2833,-81.25,29.44,70,20,5.14,KY,1679951627
231,arraial do cabo,-22.9661,-42.0278,23.92,88,75,5.14,BR,1679951628
232,sorland,67.667,12.6934,-1.08,60,21,3.71,NO,1679951628
233,mahebourg,-20.4081,57.7,24.03,81,6,1.65,MU,1679951628
234,tikrit,34.6071,43.6782,15.92,84,18,4.04,IQ,1679951628
235,luena,-11.7833,19.9167,16.17,98,100,1.72,AO,1679951628
236,biak,-0.9131,122.8766,24.4,81,99,1.37,ID,1679951629
237,richards bay,-28.783,32.0377,19.91,62,100,2.3,ZA,1679951605
238,altay,47.8667,88.1167,0.86,58,89,2.9,CN,1679951629
239,mosquera,4.7059,-74.2302,16.05,77,75,4.63,CO,1679951629
240,bonthe,7.5264,-12.505,25.88,79,100,3.42,SL,1679951629
241,moroni,-11.7022,43.2551,26.6,80,86,0.9,KM,1679951629
242,salinas,36.6777,-121.6555,18.68,32,0,6.69,US,1679951562
243,axim,4.8699,-2.2405,26.84,83,85,1.3,GH,1679951630
244,grants,35.1473,-107.8514,7.13,18,0,8.23,US,1679951630
245,camden,39.7835,-74.9663,12.01,44,99,4.51,US,1679951596
246,mvangue,2.9667,11.5167,20.27,88,22,0.86,CM,1679951630
247,coihaique,-45.5752,-72.0662,10.97,71,100,2.06,CL,1679951547
248,almaznyy,48.0448,40.045,5.96,93,2,2.92,RU,1679951630
249,port hardy,50.6996,-127.4199,6.8,61,1,1.68,CA,1679951631
250,kahului,20.8947,-156.47,28.01,64,40,3.09,US,1679951605
251,coahuayana,18.7333,-103.6833,30.26,44,100,3.47,MX,1679951631
252,kuryk,43.2,51.65,11.44,69,100,3.52,KZ,1679951631
253,yatou,37.15,122.3833,3.69,72,0,1.96,CN,1679951631
254,sishui,35.6489,117.2758,8.9,58,7,1.82,CN,1679951631
255,ballina,-28.8667,153.5667,21.55,86,100,2.1,AU,1679951632
256,orsha,54.5153,30.4053,3.66,77,99,3.56,BY,1679951632
257,sorong,-0.8833,131.25,26.03,86,99,5.49,ID,1679951632
258,bonavista,48.6499,-53.1147,-0.32,94,100,9.76,CA,1679951633
259,pangai,-19.8,-174.35,27.6,83,100,5.26,TO,1679951633
260,gravdal,68.1214,13.5031,-8.06,79,0,2.06,NO,1679951633
261,provost,52.3501,-110.2683,-8.19,86,100,2.5,CA,1679951633
262,daru,-9.0763,143.2092,25.82,89,99,2.98,PG,1679951634
263,berlevag,70.8578,29.0864,-4.0,86,75,7.72,NO,1679951634
264,sao filipe,14.8961,-24.4956,22.86,75,62,3.93,CV,1679951634
265,tiznit,29.5833,-9.5,22.48,33,99,0.96,MA,1679951634
266,ternate,0.8,127.4,26.39,82,100,3.38,ID,1679951634
267,joshimath,30.5667,79.5667,5.82,65,10,3.35,IN,1679951635
268,saskylakh,71.9167,114.0833,-25.05,97,98,5.03,RU,1679951635
269,new norfolk,-42.7826,147.0587,11.72,80,100,0.89,AU,1679951636
270,whitehorse,60.7161,-135.0538,1.17,55,100,1.34,CA,1679951636
271,vao,-22.6667,167.4833,25.1,83,95,7.52,NC,1679951636
272,anori,-3.7728,-61.6442,27.19,85,63,0.59,BR,1679951637
273,hermagor,46.6272,13.3672,-1.49,86,43,1.87,AT,1679951637
274,leh,34.1667,77.5833,-10.45,68,5,1.17,IN,1679951637
275,fjerritslev,57.0813,9.2664,-0.08,58,12,5.1,DK,1679951637
276,camiri,-20.05,-63.5167,27.79,53,96,4.27,BO,1679951638
277,sur,22.5667,59.5289,26.15,62,45,3.6,OM,1679951638
278,correntina,-13.3433,-44.6367,25.93,65,100,1.21,BR,1679951638
279,laurinburg,34.7741,-79.4628,24.19,68,20,7.2,US,1679951373
280,sinnamary,5.3833,-52.95,25.94,80,30,4.86,GF,1679951639
281,shangzhi,45.2167,127.9667,-0.67,52,6,2.6,CN,1679951639
282,tazovskiy,67.4667,78.7,-28.07,100,57,3.41,RU,1679951639
283,naples,40.8333,14.25,9.36,88,40,3.09,IT,1679951394
284,caravelas,-17.7125,-39.2481,25.38,77,6,2.78,BR,1679951640
285,ornskoldsvik,63.2909,18.7153,-6.47,49,100,3.09,SE,1679951386
286,tautira,-17.7333,-149.15,27.01,76,85,3.36,PF,1679951640
287,vinzili,56.9594,65.7708,8.17,70,100,6.6,RU,1679951640
288,goma,-1.6792,29.2228,16.93,90,100,1.04,CD,1679951640
289,tuensang,26.2833,94.8333,13.66,93,18,1.92,IN,1679951641
290,crimmitschau,50.8167,12.3833,1.52,92,100,5.97,DE,1679951641
291,danville,36.586,-79.395,27.36,50,20,6.17,US,1679951513
292,talara,-4.5772,-81.2719,29.42,70,75,5.14,PE,1679951641
293,sterling,39.0062,-77.4286,16.31,72,100,3.13,US,1679951641
294,cap-aux-meules,47.3821,-61.8597,-0.73,88,100,5.63,CA,1679951642
295,balykshi,47.0667,51.8667,12.0,50,0,2.0,KZ,1679951642
296,dubti,11.7361,41.0853,25.98,61,100,8.95,ET,1679951642
297,rocha,-34.4833,-54.3333,21.0,62,0,3.16,UY,1679951366
298,khorixas,-20.3667,14.9667,22.5,31,72,3.54,NA,1679951643
299,cornwall,45.0181,-74.7281,7.06,49,100,2.06,CA,1679951486
300,bilma,18.6853,12.9164,23.97,16,0,0.97,NE,1679951645
301,flinders,-34.5833,150.8552,21.21,79,51,0.89,AU,1679951646
302,vestmannaeyjar,63.4427,-20.2734,1.03,58,23,5.74,IS,1679951646
303,lolodorf,3.2333,10.7333,22.31,99,95,0.83,CM,1679951647
304,saint anthony,45.0205,-93.218,4.7,38,0,4.63,US,1679951647
305,karasjok,69.4719,25.5112,-19.03,100,51,1.04,NO,1679951647
306,ostrovnoy,68.0531,39.5131,-11.21,85,95,3.38,RU,1679951649
307,asau,46.4333,26.4,6.51,89,100,1.23,RO,1679951650
308,romny,50.751,33.4747,9.42,64,100,4.67,UA,1679951353
309,rapid valley,44.0625,-103.1463,-1.05,77,100,6.17,US,1679951652
310,baculin,7.4525,126.5842,24.59,91,100,3.33,PH,1679951653
311,lolotique,13.55,-88.35,34.02,22,5,2.47,SV,1679951654
312,ust-kulom,61.6864,53.6902,-3.14,96,100,3.49,RU,1679951654
313,novopokrovka,49.8425,36.5477,9.44,63,100,2.19,UA,1679951655
314,chipinge,-20.1883,32.6236,14.66,97,100,3.25,ZW,1679951655
315,teya,60.3778,92.6267,-8.1,84,69,5.92,RU,1679951655
316,macas,-2.3167,-78.1167,25.86,65,40,3.09,EC,1679951440
317,buala,-8.145,159.5921,26.93,82,100,2.8,SB,1679951659
318,japura,-0.3167,102.35,22.39,96,82,0.88,ID,1679951663
319,xianyang,34.3378,108.7026,11.86,43,100,0.45,CN,1679951527
320,grindavik,63.8424,-22.4338,-1.74,69,0,5.66,IS,1679951668
